"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 05, 2019","77.64","77.64","77.64","77.64","-","3.16%"
"Jun 04, 2019","75.26","75.26","75.26","75.26","-","2.31%"
"Jun 03, 2019","73.56","73.56","73.56","73.56","-","1.21%"
"May 31, 2019","72.68","72.68","72.68","72.68","-","17.72%"
"May 30, 2019","61.74","61.74","61.74","61.74","-","-2.24%"
"May 29, 2019","63.16","63.16","63.16","63.16","-","2.25%"
"May 28, 2019","61.77","61.77","61.77","61.77","-","2.03%"
"May 24, 2019","60.54","60.54","60.54","60.54","-","-0.86%"
"May 23, 2019","61.07","61.07","61.07","61.07","-","11.11%"
"May 22, 2019","54.96","54.96","54.96","54.96","-","-0.70%"
"May 21, 2019","55.35","55.35","55.35","55.35","-","-2.13%"
"May 20, 2019","56.55","56.55","56.55","56.55","-","-0.74%"
"May 17, 2019","56.97","56.97","56.97","56.97","-","0.00%"
"May 16, 2019","56.98","56.98","56.98","56.98","-","-0.74%"
"May 15, 2019","57.40","57.40","57.40","57.40","-","3.71%"
"May 14, 2019","55.35","55.35","55.35","55.35","-","-4.40%"
"May 13, 2019","57.89","57.89","57.89","57.89","-","8.23%"
"May 10, 2019","53.49","53.49","53.49","53.49","-","-2.25%"
"May 09, 2019","54.72","54.72","54.72","54.72","-","6.66%"
"May 08, 2019","51.31","51.31","51.31","51.31","-","-2.01%"
"May 07, 2019","52.36","52.36","52.36","52.36","-","9.50%"
"May 06, 2019","47.82","47.82","47.82","47.82","-","4.45%"
"May 03, 2019","45.78","45.78","45.78","45.78","-","-2.00%"
"May 02, 2019","46.72","46.72","46.72","46.72","-","-0.06%"
"May 01, 2019","46.75","46.75","46.75","46.75","-","-5.51%"
"Apr 30, 2019","49.47","49.47","49.47","49.47","-","2.95%"
"Apr 29, 2019","48.05","48.05","48.05","48.05","-","-2.78%"
"Apr 26, 2019","49.43","49.43","49.43","49.43","-","-0.72%"
"Apr 25, 2019","49.79","49.79","49.79","49.79","-","-1.46%"
"Apr 24, 2019","50.52","50.52","50.52","50.52","-","1.48%"
"Apr 23, 2019","49.79","49.79","49.79","49.79","-","2.06%"
